label,pattern,replace
anoplura,Johnsonpthirus heliosciuri,
anoplura,Johnsonpthirus keniae,
anoplura,Johnsonpthirus spinosissimus,
anoplura,Johnsonpthirus suahelicus,
anoplura,Lagidiophthirus parvus,
anoplura,Latagophthirus rauschi,
anoplura,Lemurpediculus claytoni,
anoplura,Lemurpediculus madagascariensis,
anoplura,Lemurpediculus petterorum,
anoplura,Lemurpediculus robbinsi,
anoplura,Lemurpediculus verruculosus,
anoplura,Lemurphthirus galagus,
anoplura,Lemurphthirus stigmosus,
anoplura,Lemurphthirus verruculosus,Lemurpediculus verruculosus
anoplura,Lemurphthirus vincenti,
anoplura,Lepidophthirus macrorhini,
anoplura,Lepidophthirus piriformis,
anoplura,Linognathella vituli,Linognathus vituli
anoplura,Linognathoides baibacinae,
anoplura,Linognathoides citelli,
anoplura,Linognathoides cynomyis,
anoplura,Linognathoides faurei,
anoplura,Linognathoides laeviusculus,
anoplura,Linognathoides marmotae,
anoplura,Linognathoides montanus,Linognathoides laeviusculus
anoplura,Linognathoides palaearctus,
anoplura,Linognathoides pectinifer,
anoplura,Linognathoides relictus,
anoplura,Linognathoides schizodactylus,
anoplura,Linognathoides setosus,Linognathoides pectinifer
anoplura,Linognathoides spermophili,Linognathoides citelli
anoplura,Linognathoides traubi,
anoplura,Linognathoides urocitelli,
anoplura,Linognathus aepycerus,
anoplura,Linognathus africanus,
anoplura,Linognathus albifrontis,Linognathus damaliscus
anoplura,Linognathus angasi,
anoplura,Linognathus angulatus,
anoplura,Linognathus antennatus,
anoplura,Linognathus antidorcitis,
anoplura,Linognathus armatus,
anoplura,Linognathus bedfordi,
anoplura,Linognathus bhatii,
anoplura,Linognathus binipilosus,Solenopotes binipilosus
anoplura,Linognathus breviceps,
anoplura,Linognathus brevicornis,
anoplura,Linognathus burmeisteri,Solenopotes burmeisteri
anoplura,Linognathus caviae capensis,Prolinognathus caviae-capensis
anoplura,Linognathus cervicaprae,
anoplura,Linognathus coassus,Solenopotes binipilosus
anoplura,Linognathus contractus,
anoplura,Linognathus crassicornis,Solenopotes burmeisteri
anoplura,Linognathus damaliscus,
anoplura,Linognathus damarensis,
anoplura,Linognathus digitalis,
anoplura,Linognathus elblae,
anoplura,Linognathus euchore,
anoplura,Linognathus fahrenholzi,
anoplura,Linognathus fenneci,
anoplura,Linognathus ferrisi,Linognathus gnu
