label,pattern,replace,rank
anoplura,h. echinophthirius setosus,Echinophthirius horridus,species
anoplura,h. edentula,Hoplopleura edentula,species
anoplura,h. elegans,Haematopinus asini,species
anoplura,h. emarginata,Paradoxophthirus emarginata,species
anoplura,h. emphereia,Hoplopleura emphereia,species
anoplura,h. enormis enormis,Hoplopleura enormis,species
anoplura,h. enormis mylomydis,Hoplopleura mylomydis,species
anoplura,h. enormis pelomydis,Hoplopleura pelomydis,species
anoplura,h. enormis,Hoplopleura enormis,species
anoplura,h. equi,Haematopinus asini,species
anoplura,h. erismata,Hoplopleura erismata,species
anoplura,h. erratica arboricola,Hoplopleura arboricola,species
anoplura,h. erratica erratica,Hoplopleura erratica,species
anoplura,h. erratica,Hoplopleura erratica,species
anoplura,h. erraticus,Hoplopleura erratica,species
anoplura,h. eurysternus,Haematopinus eurysternus,species
anoplura,h. euxeri,Enderleinellus euxeri,species
anoplura,h. exima,Hoplopleura exima,species
anoplura,h. fahrenholzi,Hoplopleura acanthopus,species
anoplura,h. ferrisi emphereia,Hoplopleura emphereia,species
anoplura,h. ferrisi ferrisi,Hoplopleura ferrisi,species
